Row Labels;Count of title
123inkt;1
7266-Janssen Biologics Legal Entity;1
ABN AMRO International Services B.V.;9
Accenture;1
Action;1
adesso Netherlands;3
Air Apps;1
All About Work;2
Alliander;2
AlmavivA de Belgique;1
Altum Consulting;1
Arriva;1
AstraZeneca;1
BDR Thermea Group;1
BESIX;1
Brainboss;1
Bright Professionals;7
Caesar Groep;1
Certis Belchim;1
Creative Fabrica;1
Cureety;1
Cushman & Wakefield;3
Dataiku;1
Delta Fiber Nederland;1
Dept;1
Driessen;2
eiffel;4
EMW, Inc.;1
Eneco;7
Everfield;2
Everience Benelux;1
Fitura;2
Flowserve Corporation;2
Gemeente Amersfoort;1
GoSpooky;6
GrowWork;1
HappyNurse;1
Het CAK;1
House of BÒta;4
Hunkem—ller;2
Idella;1
IFF;1
ING;2
Intergamma;1
Intranet Gemeente Gooise Meren;1
Intranet GVB;1
Intrum;1
Jobgether;1
Karl Lagerfeld;1
Kenter Groendus;1
KPN;1
Kraft Heinz;1
Lely;1
LYNX Amsterdam;1
Marsh McLennan;1
MdH Recruitment;1
MdH Recruitment Breda;2
Miele;1
Ministerie van Defensie;22
Nebius;1
Nederlandse Loterij;1
Nestle;1
Netherlands Branch;1
New10 B.V.;1
NLwerkt;3
NN Group;1
Oliver James Associates;3
Olympia;5
OZ-Hami;1
P1;1
Precedence;1
ProRail;1
Rado Bank;4
Randstad Professional;1
Robeco;1
RP Group;1
S and C company;1
Salesforce;1
Smollan Netherlands;1
Sopra Steria;1
SPAR hoofdkantoor;1
Spektrum;1
Stichting SEZO;1
Storio group;1
Supply Value;1
Talent&Pro;1
Team EIFFEL;2
team5pm;1
TELUS Digital;2
TIP GROUP;1
TransPerfect;1
Travix;2
Unknown;1
Van Spaendonck;1
Vanderlande Industries;1
Voort;1
Walker & Dunlop;1
Watson Health & Beauty Europe;1
WE Fashion;1
wehkamp;1
WLG;1
Yuno;2
Grand Total;182
